isShowcaseListing,longitude,timeOnZillow,zestimate,daysOnZillow,zpid,taxAssessedValue,isUnmappable,priceForHDP,dateSold,state,isFeatured,isPremierBuilder,isPreforeclosureAuction,lotAreaValue,isNonOwnerOccupied,homeStatus,latitude,lotAreaUnit,bedrooms,zipcode,homeStatusForHDP,isZillowOwned,shouldHighlight,homeType,bathrooms,rentZestimate,price,city,streetAddress,country,currency,listing_sub_type,livingArea
False,-77.59225,45710449000.0,,529,2064679438,,False,1997000,1666249200000,ON,False,False,False,1.752057543618,True,RECENTLY_SOLD,44.03021,acres,5.0,K0K1L0,FOR_SALE,False,False,SINGLE_FAMILY,7.0,,0,Prince Edward County,180 Parkview Rd,CAN,CAD,{'is_FSBA': True},
False,-78.27183,47006450000.0,,544,2061934020,,False,0,1664953200000,ON,False,False,False,,True,RECENTLY_SOLD,43.965168,,,L1A3W6,RECENTLY_SOLD,False,False,SINGLE_FAMILY,,,0,Pt Hope,6 Stanley Dr,CAN,CAD,{},
False,-78.511444,48043251000.0,,556,2062613560,,False,875000,1663916400000,ON,False,False,False,,True,RECENTLY_SOLD,44.40073,,3.0,K9V0K4,FOR_SALE,False,False,SINGLE_FAMILY,1.0,,0,Kawartha Lakes,28 Osprey Rd,CAN,CAD,{'is_FSBA': True},
False,-79.35185,48302760000.0,,559,2065418982,,False,2400,1663657200000,ON,False,False,False,,True,RECENTLY_SOLD,43.74086,,1.0,M3B2S5,FOR_RENT,False,False,SINGLE_FAMILY,1.0,,1480000,Toronto,2 Hemford Cres,CAN,CAD,{},
False,-77.87009,48648360000.0,,563,2063437404,,False,629000,1663311600000,ON,False,False,False,,True,RECENTLY_SOLD,44.390247,,3.0,K0L1Z0,FOR_SALE,False,False,SINGLE_FAMILY,1.0,,0,Trent Hills,62 Centennial Ln,CAN,CAD,{'is_FSBA': True},
False,-80.03745,,,-1,2074353060,,False,0,1622444400000,ON,False,False,False,,True,RECENTLY_SOLD,43.28156,,3.0,L9H5E2,RECENTLY_SOLD,False,False,MULTI_FAMILY,2.0,,0,Hamilton,435 Middletown Rd,CAN,CAD,{},1310.0
False,-79.8191,,,-1,2073809881,,False,0,1618815600000,ON,False,False,False,,True,RECENTLY_SOLD,43.237064,,3.0,L8K1T1,RECENTLY_SOLD,False,False,MULTI_FAMILY,2.0,,0,Hamilton,1537 King St E,CAN,CAD,{},1600.0
False,-79.88524,,,-1,2077890982,,False,1609900,1618556400000,ON,False,False,False,,True,RECENTLY_SOLD,43.251495,,3.0,L8P2L3,FOR_SALE,False,False,MULTI_FAMILY,4.0,,0,Hamilton,62 Stanley Ave,CAN,CAD,{'is_FSBA': True},2793.0
False,-79.73213,,,-1,2075686121,,False,0,1617346800000,ON,False,False,False,,True,RECENTLY_SOLD,43.223385,,3.0,L8E2A3,RECENTLY_SOLD,False,False,MULTI_FAMILY,2.0,,0,Hamilton,206 Green Rd,CAN,CAD,{},1066.0
False,-80.03745,,,-1,2074353060,,False,0,1622444400000,ON,False,False,False,,True,RECENTLY_SOLD,43.28156,,3.0,L9H5E2,RECENTLY_SOLD,False,False,MULTI_FAMILY,2.0,,0,Hamilton,435 Middletown Rd,CAN,CAD,{},1310.0
False,-80.03745,,,-1,2074353060,,False,0,1622444400000,ON,False,False,False,,True,RECENTLY_SOLD,43.28156,,3.0,L9H5E2,RECENTLY_SOLD,False,False,MULTI_FAMILY,2.0,,0,Hamilton,435 Middletown Rd,CAN,CAD,{},1310.0
False,-80.03745,,,-1,2074353060,,False,0,1622444400000,ON,False,False,False,,True,RECENTLY_SOLD,43.28156,,3.0,L9H5E2,RECENTLY_SOLD,False,False,MULTI_FAMILY,2.0,,0,Hamilton,435 Middletown Rd,CAN,CAD,{},1310.0
False,-80.03745,,,-1,2074353060,,False,0,1622444400000,ON,False,False,False,,True,RECENTLY_SOLD,43.28156,,3.0,L9H5E2,RECENTLY_SOLD,False,False,MULTI_FAMILY,2.0,,0,Hamilton,435 Middletown Rd,CAN,CAD,{},1310.0
False,-80.03745,,,-1,2074353060,,False,0,1622444400000,ON,False,False,False,,True,RECENTLY_SOLD,43.28156,,3.0,L9H5E2,RECENTLY_SOLD,False,False,MULTI_FAMILY,2.0,,0,Hamilton,435 Middletown Rd,CAN,CAD,{},1310.0
False,-80.03745,,,-1,2074353060,,False,0,1622444400000,ON,False,False,False,,True,RECENTLY_SOLD,43.28156,,3.0,L9H5E2,RECENTLY_SOLD,False,False,MULTI_FAMILY,2.0,,0,Hamilton,435 Middletown Rd,CAN,CAD,{},1310.0
